transaction_id,order_id,amount,currency,payment_method,payment_status,customer_id,timestamp
TXN1049,order_597732,999900,INR,netbanking,captured,cust_9540,2026-07-14 16:07:00
TXN1050,order_387936,999900,INR,upi,captured,cust_6238,2026-07-17 14:45:00
TXN1051,order_501641,29900,INR,card,captured,cust_8633,2026-08-27 10:34:00
TXN1052,order_508396,9900,INR,emi,captured,cust_5892,2026-08-07 09:00:00
TXN1053,order_386193,499900,INR,wallet,captured,cust_7624,2026-08-30 11:39:00
TXN1054,order_752483,9900,INR,wallet,captured,cust_8022,2026-07-25 05:18:00
TXN1055,order_152727,99900,INR,wallet,captured,cust_7211,2026-08-11 17:31:00
TXN1056,order_975467,19900,INR,wallet,captured,cust_6733,2026-08-30 00:26:00
TXN1057,order_142213,9900,INR,card,captured,cust_3068,2026-08-19 23:21:00
TXN1058,order_328552,999900,INR,netbanking,captured,cust_2876,2026-07-13 12:50:00
TXN1059,order_706794,9900,INR,netbanking,captured,cust_7498,2026-07-26 02:02:00
TXN1060,order_970917,49900,INR,upi,captured,cust_2983,2026-07-18 14:06:00
TXN1061,order_549186,199900,INR,upi,captured,cust_7882,2026-07-30 03:39:00
TXN1062,order_766459,999900,INR,card,captured,cust_5425,2026-08-04 18:14:00
TXN1063,order_721254,99900,INR,netbanking,captured,cust_5569,2026-07-08 16:07:00
TXN1064,order_618317,199900,INR,card,captured,cust_6576,2026-07-31 17:38:00
TXN1065,order_189771,49900,INR,wallet,captured,cust_8800,2026-07-31 06:12:00
TXN1066,order_332360,499900,INR,card,captured,cust_9698,2026-08-12 02:23:00
TXN1067,order_575786,99900,INR,netbanking,captured,cust_6169,2026-08-15 16:53:00
TXN1068,order_899213,29900,INR,card,captured,cust_9595,2026-08-18 00:30:00
TXN1069,order_410636,49900,INR,netbanking,captured,cust_3073,2026-08-20 15:00:00
TXN1070,order_680238,99900,INR,card,captured,cust_5658,2026-07-22 08:54:00
TXN1071,order_293319,9900,INR,netbanking,captured,cust_7565,2026-07-02 08:53:00
TXN1072,order_705050,9900,INR,card,captured,cust_5066,2026-08-22 05:41:00
TXN1073,order_498855,999900,INR,wallet,captured,cust_1986,2026-08-12 05:33:00
TXN1074,order_185131,29900,INR,card,captured,cust_7693,2026-08-20 06:56:00
TXN1075,order_342720,99900,INR,netbanking,captured,cust_5334,2026-07-18 09:56:00
TXN1076,order_671015,49900,INR,card,captured,cust_1977,2026-07-04 15:08:00
TXN1077,order_885339,99900,INR,wallet,captured,cust_7594,2026-08-24 09:16:00
TXN1078,order_727086,9900,INR,wallet,captured,cust_2496,2026-07-15 13:22:00
TXN1079,order_961322,99900,INR,emi,captured,cust_8245,2026-08-29 18:30:00
TXN1080,order_953797,999900,INR,upi,captured,cust_2713,2026-08-01 12:34:00
TXN1081,order_619536,99900,INR,wallet,captured,cust_6153,2026-07-10 06:58:00
TXN1082,order_639593,9900,INR,emi,captured,cust_6927,2026-08-02 10:57:00
TXN1083,order_313446,99900,INR,emi,captured,cust_8941,2026-08-23 14:32:00
TXN1084,order_266071,99900,INR,emi,captured,cust_2858,2026-08-31 06:34:00
TXN1085,order_972565,29900,INR,wallet,captured,cust_5479,2026-07-03 01:42:00
TXN1086,order_355570,999900,INR,emi,captured,cust_9327,2026-08-22 11:48:00
TXN1087,order_910208,499900,INR,netbanking,captured,cust_5634,2026-07-03 07:43:00
TXN1088,order_708093,999900,INR,card,captured,cust_9903,2026-08-03 06:30:00
TXN1089,order_501574,49900,INR,wallet,captured,cust_7246,2026-08-29 13:13:00
TXN1090,order_232378,199900,INR,upi,captured,cust_8486,2026-07-07 09:54:00
TXN1091,order_786587,29900,INR,upi,captured,cust_7512,2026-08-01 15:39:00
TXN1092,order_659543,499900,INR,netbanking,captured,cust_9864,2026-07-22 01:04:00
TXN1093,order_897305,19900,INR,wallet,captured,cust_1753,2026-08-21 01:41:00
TXN1094,order_475876,199900,INR,wallet,captured,cust_3950,2026-08-22 16:27:00
TXN1095,order_501126,49900,INR,wallet,captured,cust_5161,2026-07-04 05:51:00
TXN1096,order_810526,29900,INR,upi,captured,cust_7951,2026-08-03 12:23:00
TXN1097,order_994787,999900,INR,upi,captured,cust_5847,2026-08-16 11:24:00
TXN1098,order_693419,9900,INR,emi,captured,cust_5689,2026-07-15 08:07:00
TXN1099,order_299367,99900,INR,card,captured,cust_1645,2026-07-22 20:03:00
TXN1100,order_707727,199900,INR,card,captured,cust_3877,2026-08-26 14:40:00
TXN1101,order_483629,99900,INR,card,captured,cust_6549,2026-08-15 08:09:00
TXN1102,order_809176,499900,INR,emi,captured,cust_5332,2026-08-08 21:10:00
TXN1103,order_885395,99900,INR,emi,captured,cust_4830,2026-08-07 03:37:00
TXN1104,order_443939,49900,INR,upi,captured,cust_7689,2026-07-22 09:02:00
TXN1105,order_139019,99900,INR,wallet,captured,cust_3222,2026-08-24 20:45:00
TXN1106,order_879238,499900,INR,emi,captured,cust_2622,2026-07-15 00:51:00
TXN1107,order_134305,199900,INR,card,captured,cust_2627,2026-08-03 09:45:00
TXN1108,order_776149,199900,INR,upi,captured,cust_8450,2026-08-06 15:48:00
TXN1109,order_355400,29900,INR,emi,captured,cust_4394,2026-08-18 21:07:00
TXN1110,order_926952,9900,INR,netbanking,captured,cust_3858,2026-07-08 19:52:00
TXN1111,order_475644,49900,INR,emi,captured,cust_3076,2026-08-11 23:49:00
TXN1112,order_166645,999900,INR,wallet,captured,cust_8405,2026-07-13 12:28:00
TXN1113,order_862569,99900,INR,wallet,failed,cust_7580,2026-07-21 23:57:00
TXN1114,order_546980,19900,INR,wallet,captured,cust_6277,2026-07-17 09:56:00
TXN1115,order_754644,199900,INR,wallet,captured,cust_8048,2026-07-24 07:42:00
TXN1116,order_573489,49900,INR,wallet,captured,cust_2557,2026-08-10 09:35:00
TXN1117,order_367271,199900,INR,card,captured,cust_2398,2026-07-19 08:56:00
TXN1118,order_874683,199900,INR,card,captured,cust_6400,2026-07-27 22:23:00
TXN1119,order_886730,499900,INR,upi,captured,cust_9313,2026-08-13 04:41:00
TXN1120,order_467121,199900,INR,upi,captured,cust_8030,2026-07-14 15:24:00
TXN1121,order_289179,99900,INR,netbanking,captured,cust_3347,2026-07-04 13:38:00
TXN1122,order_763928,9900,INR,upi,captured,cust_8432,2026-07-15 07:47:00
TXN1123,order_856648,199900,INR,emi,captured,cust_3579,2026-07-24 21:04:00
TXN1124,order_564637,499900,INR,wallet,captured,cust_9394,2026-07-24 09:34:00
TXN1125,order_397005,999900,INR,emi,captured,cust_1897,2026-07-20 14:58:00
TXN1126,order_904624,29900,INR,netbanking,captured,cust_8055,2026-08-13 13:53:00
TXN1127,order_837852,49900,INR,emi,captured,cust_7505,2026-07-27 02:09:00
TXN1128,order_181644,199900,INR,emi,captured,cust_7843,2026-08-04 05:35:00
TXN1129,order_121869,199900,INR,card,captured,cust_6928,2026-07-11 04:31:00
TXN1130,order_985506,19900,INR,card,captured,cust_7484,2026-08-04 05:35:00
TXN1131,order_449247,29900,INR,upi,captured,cust_4176,2026-07-30 03:53:00
TXN1132,order_253557,99900,INR,card,captured,cust_2234,2026-08-20 04:51:00
TXN1133,order_891093,999900,INR,emi,captured,cust_6179,2026-07-21 03:21:00
TXN1134,order_563688,99900,INR,netbanking,captured,cust_6085,2026-07-25 22:38:00
TXN1135,order_486649,99900,INR,upi,captured,cust_7299,2026-07-21 21:21:00
TXN1136,order_930281,9900,INR,wallet,captured,cust_8792,2026-07-04 05:19:00
TXN1137,order_208529,199900,INR,upi,captured,cust_8172,2026-07-30 03:49:00
TXN1138,order_490963,99900,INR,wallet,captured,cust_6482,2026-08-05 13:17:00
TXN1139,order_685066,499900,INR,netbanking,captured,cust_3463,2026-08-15 00:06:00
TXN1140,order_795847,29900,INR,netbanking,captured,cust_3112,2026-08-12 03:16:00
TXN1141,order_494976,199900,INR,card,captured,cust_9624,2026-07-20 01:07:00
TXN1142,order_423869,29900,INR,card,captured,cust_3253,2026-08-10 08:48:00
TXN1143,order_632351,9900,INR,netbanking,captured,cust_3527,2026-07-06 04:52:00
TXN1144,order_908554,29900,INR,wallet,captured,cust_4891,2026-08-29 10:37:00
TXN1145,order_888939,999900,INR,card,captured,cust_8684,2026-07-28 16:41:00
TXN1146,order_956572,49900,INR,emi,captured,cust_7081,2026-08-23 15:57:00
TXN1147,order_992512,19900,INR,netbanking,captured,cust_9410,2026-08-26 18:43:00
TXN1148,order_332823,999900,INR,netbanking,captured,cust_9224,2026-07-03 23:34:00
TXN1149,order_493124,49900,INR,upi,captured,cust_6493,2026-08-11 20:07:00
TXN1150,order_400814,999900,INR,card,captured,cust_1086,2026-07-14 01:30:00
TXN1151,order_975522,29900,INR,emi,captured,cust_2821,2026-07-02 00:22:00
TXN1152,order_150068,49900,INR,wallet,captured,cust_9189,2026-07-22 04:31:00
TXN1153,order_250551,99900,INR,wallet,captured,cust_7825,2026-08-31 04:38:00
TXN1154,order_170966,9900,INR,wallet,captured,cust_7116,2026-07-07 08:58:00
TXN1155,order_474440,19900,INR,netbanking,captured,cust_6447,2026-08-16 00:18:00
TXN1156,order_672536,199900,INR,card,captured,cust_8840,2026-07-09 02:31:00
TXN1157,order_138780,99900,INR,card,captured,cust_6080,2026-08-29 17:04:00
TXN1158,order_138399,49900,INR,netbanking,captured,cust_5476,2026-08-09 22:05:00
TXN1159,order_519453,999900,INR,wallet,captured,cust_7018,2026-08-10 18:29:00
TXN1160,order_545120,19900,INR,wallet,captured,cust_2680,2026-07-24 18:26:00
TXN1161,order_731894,499900,INR,card,captured,cust_6776,2026-07-18 09:38:00
TXN1162,order_803787,499900,INR,netbanking,captured,cust_1510,2026-07-30 00:17:00
TXN1163,order_170499,49900,INR,netbanking,captured,cust_3513,2026-08-08 11:24:00
TXN1164,order_565504,19900,INR,emi,captured,cust_5566,2026-08-23 07:37:00
TXN1165,order_871411,29900,INR,wallet,captured,cust_5288,2026-07-29 11:02:00
TXN1166,order_324993,99900,INR,wallet,captured,cust_8406,2026-08-19 20:52:00
TXN1167,order_566732,19900,INR,netbanking,captured,cust_9882,2026-07-20 12:15:00
TXN1168,order_846385,29900,INR,netbanking,captured,cust_3275,2026-07-30 16:53:00
TXN1169,order_700076,199900,INR,wallet,captured,cust_2412,2026-07-11 06:52:00
TXN1170,order_851759,999900,INR,emi,captured,cust_3053,2026-08-05 10:08:00
TXN1171,order_571832,999900,INR,emi,captured,cust_3981,2026-08-09 19:04:00
TXN1172,order_627290,9900,INR,upi,captured,cust_6286,2026-07-29 19:41:00
TXN1173,order_362778,49900,INR,emi,captured,cust_9740,2026-08-14 19:20:00
TXN1174,order_754813,199900,INR,emi,captured,cust_5336,2026-08-29 23:55:00
TXN1175,order_757629,99900,INR,netbanking,captured,cust_7653,2026-08-01 16:09:00
TXN1176,order_560959,499900,INR,wallet,captured,cust_6121,2026-08-02 17:39:00
TXN1177,order_518084,29900,INR,netbanking,captured,cust_8642,2026-07-30 06:54:00
TXN1178,order_247720,19900,INR,upi,captured,cust_5067,2026-08-13 11:05:00
TXN1179,order_856157,199900,INR,card,failed,cust_8648,2026-07-14 18:29:00
TXN1180,order_622987,99900,INR,wallet,captured,cust_4944,2026-08-30 21:35:00
TXN1181,order_152995,99900,INR,wallet,captured,cust_9793,2026-07-24 03:17:00
TXN1182,order_240440,99900,INR,netbanking,captured,cust_1838,2026-07-14 11:37:00
TXN1183,order_628750,999900,INR,emi,captured,cust_3108,2026-08-14 04:17:00
TXN1184,order_933510,199900,INR,emi,captured,cust_9341,2026-07-02 12:12:00
TXN1185,order_140804,29900,INR,netbanking,captured,cust_9446,2026-07-11 08:27:00
TXN1186,order_512042,99900,INR,emi,captured,cust_9025,2026-08-10 07:07:00
TXN1187,order_806537,19900,INR,wallet,captured,cust_1436,2026-07-25 14:10:00
TXN1188,order_278794,499900,INR,card,captured,cust_2800,2026-07-10 02:45:00
TXN1189,order_539122,29900,INR,wallet,captured,cust_8726,2026-07-18 17:34:00
TXN1190,order_317413,199900,INR,wallet,captured,cust_8531,2026-07-29 11:40:00
TXN1191,order_909489,99900,INR,emi,captured,cust_5890,2026-08-01 17:45:00
TXN1192,order_839142,49900,INR,wallet,captured,cust_5480,2026-08-11 08:38:00
TXN1193,order_809489,499900,INR,wallet,captured,cust_5758,2026-07-10 12:11:00
TXN1194,order_563864,99900,INR,wallet,captured,cust_5450,2026-08-18 17:08:00
TXN1195,order_802371,49900,INR,card,captured,cust_8739,2026-08-28 20:34:00
TXN1196,order_265613,499900,INR,wallet,captured,cust_5706,2026-08-01 03:48:00
TXN1197,order_702022,49900,INR,emi,captured,cust_3868,2026-07-15 00:06:00
TXN1198,order_926236,999900,INR,card,captured,cust_1613,2026-07-03 00:05:00
TXN1199,order_398384,999900,INR,emi,captured,cust_9261,2026-07-29 08:04:00
TXN1200,order_446747,29900,INR,wallet,captured,cust_6523,2026-07-21 15:15:00
TXN1201,order_740632,499900,INR,wallet,captured,cust_2562,2026-07-30 13:55:00
TXN1202,order_439320,49900,INR,upi,captured,cust_5374,2026-08-15 11:45:00
TXN1203,order_477017,49900,INR,upi,captured,cust_7642,2026-07-20 20:31:00
TXN1204,order_409369,199900,INR,emi,captured,cust_8454,2026-08-17 16:52:00
TXN1205,order_653829,199900,INR,upi,captured,cust_9972,2026-07-04 05:53:00
TXN1206,order_995993,999900,INR,upi,captured,cust_2489,2026-07-19 17:15:00
TXN1207,order_238353,499900,INR,wallet,captured,cust_6049,2026-07-26 22:25:00
TXN1208,order_882032,49900,INR,emi,captured,cust_2044,2026-08-27 22:33:00
TXN1209,order_401036,499900,INR,card,captured,cust_7887,2026-07-13 19:11:00
TXN1210,order_495833,499900,INR,upi,captured,cust_6697,2026-07-19 02:05:00
TXN1211,order_233533,49900,INR,upi,captured,cust_9920,2026-07-14 23:41:00
TXN1212,order_359535,999900,INR,netbanking,captured,cust_2848,2026-08-22 15:48:00
TXN1213,order_170559,19900,INR,emi,captured,cust_1797,2026-08-29 09:22:00
TXN1214,order_521805,999900,INR,card,captured,cust_1924,2026-07-28 17:12:00
TXN1215,order_403314,49900,INR,emi,captured,cust_6253,2026-08-11 05:22:00
TXN1216,order_388519,9900,INR,emi,captured,cust_3869,2026-07-02 05:04:00
TXN1217,order_149161,199900,INR,wallet,captured,cust_7688,2026-07-12 07:40:00
TXN1218,order_292811,999900,INR,card,captured,cust_3365,2026-07-08 16:41:00
TXN1219,order_689704,499900,INR,wallet,captured,cust_5177,2026-07-27 07:52:00
TXN1220,order_859782,49900,INR,upi,captured,cust_1647,2026-08-14 11:17:00
TXN1221,order_859489,49900,INR,wallet,captured,cust_1251,2026-08-18 13:41:00
TXN1222,order_223014,999900,INR,card,captured,cust_4921,2026-07-18 04:15:00
TXN1223,order_588899,199900,INR,netbanking,captured,cust_8635,2026-08-15 12:28:00
TXN1224,order_312994,199900,INR,netbanking,captured,cust_3390,2026-08-05 22:24:00
TXN1225,order_680189,499900,INR,netbanking,captured,cust_5026,2026-08-22 17:39:00
TXN1226,order_858705,999900,INR,wallet,captured,cust_3293,2026-08-21 00:10:00
TXN1227,order_135466,19900,INR,upi,captured,cust_4791,2026-07-14 23:34:00
TXN1228,order_329344,999900,INR,netbanking,captured,cust_8916,2026-08-28 04:20:00
TXN1229,order_658065,499900,INR,upi,captured,cust_5697,2026-08-30 07:14:00
TXN1230,order_649857,29900,INR,card,captured,cust_6807,2026-08-19 04:27:00
TXN1231,order_491172,499900,INR,wallet,captured,cust_2320,2026-07-26 16:16:00
TXN1232,order_495490,999900,INR,upi,captured,cust_9189,2026-07-22 23:16:00
TXN1233,order_144618,49900,INR,card,captured,cust_5441,2026-07-05 01:04:00
TXN1234,order_393992,9900,INR,card,captured,cust_3362,2026-07-03 13:59:00
TXN1235,order_352153,499900,INR,emi,captured,cust_2284,2026-08-10 11:12:00
TXN1236,order_558320,49900,INR,upi,captured,cust_7499,2026-08-10 04:11:00
TXN1237,order_386604,999900,INR,wallet,captured,cust_8075,2026-08-17 12:25:00
TXN1238,order_909676,99900,INR,card,captured,cust_7225,2026-07-17 21:55:00
TXN1239,order_478221,19900,INR,upi,captured,cust_5419,2026-08-31 14:32:00
TXN1240,order_551914,999900,INR,emi,captured,cust_2468,2026-07-27 07:34:00
TXN1241,order_727094,199900,INR,wallet,captured,cust_2387,2026-08-31 14:34:00
TXN1242,order_381981,99900,INR,netbanking,captured,cust_5521,2026-07-31 19:56:00
TXN1243,order_478666,99900,INR,card,captured,cust_4203,2026-07-16 03:29:00
TXN1244,order_419457,9900,INR,wallet,captured,cust_6399,2026-08-10 04:36:00
TXN1245,order_732512,49900,INR,wallet,captured,cust_5775,2026-08-11 18:35:00
TXN1246,order_956156,499900,INR,netbanking,captured,cust_9939,2026-08-24 05:48:00
TXN1247,order_128223,999900,INR,card,captured,cust_7703,2026-08-03 14:07:00
TXN1248,order_417543,49900,INR,netbanking,captured,cust_7176,2026-07-20 19:15:00
TXN1249,order_520274,499900,INR,emi,captured,cust_9796,2026-08-29 12:16:00
TXN1250,order_778428,9900,INR,emi,captured,cust_6432,2026-07-21 02:19:00
TXN1251,order_371306,49900,INR,emi,captured,cust_4621,2026-07-15 07:25:00
TXN1252,order_585556,29900,INR,netbanking,captured,cust_2406,2026-08-30 08:54:00
TXN1253,order_427040,199900,INR,wallet,captured,cust_8801,2026-07-12 17:27:00
TXN1254,order_170437,99900,INR,upi,captured,cust_6620,2026-07-11 01:53:00
TXN1255,order_547080,999900,INR,card,captured,cust_8080,2026-07-11 11:20:00
TXN1256,order_306909,999900,INR,emi,captured,cust_4371,2026-08-04 12:00:00
TXN1257,order_705393,19900,INR,emi,captured,cust_2867,2026-08-20 12:40:00
TXN1258,order_986589,999900,INR,emi,captured,cust_2388,2026-08-20 02:15:00
TXN1259,order_291936,199900,INR,card,captured,cust_7286,2026-07-30 11:34:00
TXN1260,order_766371,29900,INR,emi,captured,cust_6154,2026-08-21 08:42:00
TXN1261,order_110048,999900,INR,card,captured,cust_9109,2026-08-19 11:25:00
TXN1262,order_844638,999900,INR,wallet,captured,cust_4613,2026-08-21 21:24:00
TXN1263,order_663723,99900,INR,card,captured,cust_9115,2026-07-13 09:24:00
TXN1264,order_380901,199900,INR,emi,captured,cust_9951,2026-07-10 22:12:00
TXN1265,order_871740,49900,INR,netbanking,captured,cust_2425,2026-07-07 22:32:00
TXN1266,order_950083,199900,INR,emi,captured,cust_4385,2026-07-22 10:50:00
TXN1267,order_467856,99900,INR,emi,captured,cust_5794,2026-07-28 18:40:00
TXN1268,order_886530,499900,INR,upi,captured,cust_3174,2026-08-14 03:52:00
TXN1269,order_437742,49900,INR,wallet,captured,cust_7786,2026-07-31 19:24:00
TXN1270,order_764406,19900,INR,wallet,captured,cust_7046,2026-07-30 00:43:00
TXN1271,order_710224,9900,INR,upi,captured,cust_6869,2026-07-16 09:20:00
TXN1272,order_328411,499900,INR,card,captured,cust_6533,2026-07-31 15:40:00
TXN1273,order_993829,999900,INR,netbanking,captured,cust_2631,2026-07-05 02:12:00
TXN1274,order_562721,999900,INR,upi,captured,cust_5945,2026-08-04 17:16:00
TXN1275,order_786385,199900,INR,netbanking,captured,cust_3711,2026-08-26 12:18:00
TXN1276,order_195629,19900,INR,upi,captured,cust_4705,2026-08-18 08:56:00
TXN1277,order_460263,19900,INR,wallet,captured,cust_7276,2026-07-18 19:30:00
TXN1278,order_485416,99900,INR,card,failed,cust_3340,2026-08-07 19:19:00
TXN1279,order_171734,9900,INR,emi,captured,cust_4490,2026-07-21 18:32:00
TXN1280,order_819916,999900,INR,card,captured,cust_7291,2026-08-26 20:52:00
TXN1281,order_775933,19900,INR,card,captured,cust_5668,2026-07-27 04:22:00
TXN1282,order_315425,49900,INR,wallet,captured,cust_4921,2026-08-13 03:57:00
TXN1283,order_722780,19900,INR,emi,captured,cust_3162,2026-07-06 23:37:00
TXN1284,order_672896,29900,INR,wallet,captured,cust_1225,2026-07-13 21:59:00
TXN1285,order_163406,499900,INR,emi,captured,cust_7806,2026-08-13 03:15:00
TXN1286,order_771652,29900,INR,netbanking,captured,cust_4329,2026-08-26 14:55:00
TXN1287,order_714923,19900,INR,netbanking,captured,cust_4909,2026-07-18 10:14:00
TXN1288,order_221620,999900,INR,emi,captured,cust_3877,2026-07-24 22:41:00
TXN1289,order_243876,9900,INR,card,captured,cust_5247,2026-07-31 12:27:00
TXN1290,order_919067,99900,INR,upi,captured,cust_5456,2026-07-13 23:39:00
TXN1291,order_577309,199900,INR,upi,captured,cust_5179,2026-07-31 05:50:00
TXN1292,order_633541,9900,INR,upi,captured,cust_6963,2026-07-08 23:45:00
TXN1293,order_999138,9900,INR,emi,captured,cust_4678,2026-07-11 01:13:00
TXN1294,order_855276,199900,INR,netbanking,captured,cust_9225,2026-07-10 21:24:00
TXN1295,order_148159,499900,INR,upi,captured,cust_6090,2026-07-06 09:05:00
TXN1296,order_108356,199900,INR,card,captured,cust_4974,2026-08-13 05:10:00
TXN1297,order_868043,49900,INR,card,captured,cust_6675,2026-08-31 10:59:00
TXN1298,order_895794,499900,INR,netbanking,captured,cust_7878,2026-08-25 17:27:00
TXN1299,order_342716,499900,INR,netbanking,captured,cust_9280,2026-08-02 00:55:00
TXN1300,order_178465,9900,INR,wallet,captured,cust_6161,2026-07-20 19:45:00
TXN1301,order_574751,99900,INR,card,captured,cust_2785,2026-08-27 17:52:00
TXN1302,order_526259,19900,INR,emi,captured,cust_5341,2026-08-09 17:32:00
TXN1303,order_418992,9900,INR,card,captured,cust_5066,2026-07-09 13:51:00
TXN1304,order_372804,29900,INR,upi,captured,cust_5093,2026-07-02 11:06:00
TXN1305,order_227352,9900,INR,upi,captured,cust_7563,2026-07-09 16:52:00
TXN1306,order_371393,19900,INR,upi,captured,cust_3110,2026-08-27 17:03:00
TXN1307,order_144770,999900,INR,upi,captured,cust_7471,2026-08-21 05:33:00
TXN1308,order_501320,499900,INR,card,captured,cust_5585,2026-08-09 17:02:00
TXN1309,order_743937,49900,INR,netbanking,captured,cust_1999,2026-07-31 10:04:00
TXN1310,order_243902,499900,INR,card,captured,cust_9907,2026-07-21 07:45:00
TXN1311,order_476556,999900,INR,emi,captured,cust_9231,2026-07-12 08:38:00
TXN1312,order_127329,199900,INR,emi,captured,cust_5602,2026-08-17 23:03:00
TXN1313,order_655149,199900,INR,emi,captured,cust_4951,2026-08-17 18:54:00
TXN1314,order_703656,499900,INR,netbanking,captured,cust_6210,2026-07-03 18:49:00
TXN1315,order_468765,29900,INR,emi,captured,cust_9064,2026-07-02 17:07:00
TXN1316,order_343923,49900,INR,upi,captured,cust_4300,2026-07-29 09:00:00
TXN1317,order_122977,29900,INR,emi,captured,cust_9622,2026-07-17 19:11:00
TXN1318,order_838761,499900,INR,emi,captured,cust_3580,2026-08-25 13:41:00
TXN1319,order_432695,29900,INR,emi,captured,cust_3872,2026-07-18 04:10:00
TXN1320,order_286340,9900,INR,emi,captured,cust_6213,2026-08-06 05:58:00
TXN1321,order_881549,19900,INR,card,captured,cust_2453,2026-08-09 13:50:00
TXN1322,order_378095,49900,INR,card,captured,cust_2770,2026-07-18 21:38:00
TXN1323,order_868170,499900,INR,card,captured,cust_6754,2026-07-06 10:29:00
TXN1324,order_573209,19900,INR,upi,captured,cust_2715,2026-08-13 23:40:00
TXN1325,order_268720,19900,INR,emi,captured,cust_8909,2026-07-02 21:39:00
TXN1326,order_273012,499900,INR,card,captured,cust_4112,2026-08-28 20:39:00
TXN1327,order_200575,9900,INR,wallet,captured,cust_1893,2026-07-26 06:07:00
TXN1328,order_408857,999900,INR,card,captured,cust_5781,2026-08-25 23:47:00
