transaction_id,ledger_status,credited_amount,credited_date,duplicate_flag,notes
TXN1112,pending,,,no,
TXN1115,reconciled,199900,2026-07-25,no,
TXN1116,reconciled,49900,2026-08-12,no,
TXN1117,reconciled,199900,2026-07-20,no,
TXN1118,reconciled,199900,2026-07-29,yes,possible_duplicate_entry
TXN1118,reconciled,199900,2026-07-29,yes,possible_duplicate_entry
TXN1119,reconciled,499900,2026-08-14,no,
TXN1120,reconciled,199900,2026-07-15,no,
TXN1121,reconciled,99900,2026-07-07,no,
TXN1122,reconciled,9900,2026-07-17,no,
TXN1123,reconciled,199900,2026-07-26,no,
TXN1124,reconciled,499900,2026-07-25,no,
TXN1125,reconciled,999900,2026-07-21,no,
TXN1126,reconciled,29900,2026-08-14,no,
TXN1127,reconciled,49900,2026-07-28,no,
TXN1128,pending,,,no,
TXN1129,pending,,,no,
TXN1130,reconciled,19900,2026-08-06,no,
TXN1131,reconciled,29900,2026-08-01,no,
TXN1132,pending,99900,,no,awaiting_amount_confirmation
TXN1133,reconciled,999900,2026-07-22,no,
TXN1134,reconciled,99900,2026-07-27,no,
TXN1135,pending,,,no,
TXN1136,reconciled,9900,2026-07-05,no,
TXN1137,reconciled,199900,2026-08-01,no,
TXN1138,pending,,,no,
TXN1139,pending,,,no,
TXN1140,pending,,,no,
TXN1141,reconciled,199900,2026-07-21,yes,possible_duplicate_entry
TXN1141,reconciled,199900,2026-07-21,yes,possible_duplicate_entry
TXN1142,reconciled,29900,2026-08-11,no,
TXN1143,pending,,,no,
TXN1144,pending,,,no,
TXN1145,reconciled,999900,2026-07-29,no,
TXN1146,pending,,,no,
TXN1147,reconciled,19900,2026-08-27,no,
TXN1148,reconciled,999900,2026-07-06,no,
TXN1149,pending,,,no,
TXN1150,reconciled,999900,2026-07-15,no,
TXN1151,reconciled,29900,2026-07-04,no,
TXN1152,reconciled,49900,2026-07-23,no,
TXN1153,reconciled,99900,2026-09-01,no,
TXN1154,pending,,,no,
TXN1155,pending,,,no,
TXN1156,reconciled,199900,2026-07-10,no,
TXN1157,reconciled,99900,2026-08-31,no,
TXN1158,pending,,,no,
TXN1159,pending,,,no,
TXN1160,reconciled,19900,2026-07-26,no,
TXN1161,reconciled,499900,2026-07-20,no,
TXN1162,reconciled,499900,2026-07-31,no,
TXN1163,reconciled,49900,2026-08-10,no,
TXN1164,reconciled,19900,2026-08-24,no,
TXN1165,pending,,,no,
TXN1166,pending,,,no,
TXN1167,reconciled,19900,2026-07-22,no,
TXN1168,reconciled,29900,2026-08-01,no,
TXN1169,pending,,,no,
TXN1170,pending,,,no,
TXN1171,pending,,,no,
TXN1172,reconciled,9900,2026-07-30,no,
TXN1173,reconciled,49900,2026-08-16,no,
TXN1174,reconciled,199900,2026-08-31,no,
TXN1175,pending,99900,,no,awaiting_amount_confirmation
TXN1176,pending,,,no,
TXN1177,reconciled,29900,2026-07-31,no,
TXN1178,pending,,,no,
TXN1180,reconciled,99900,2026-08-31,no,
TXN1181,reconciled,99900,2026-07-25,no,
TXN1182,reconciled,99900,2026-07-15,no,
TXN1183,pending,,,no,
TXN1184,reconciled,199900,2026-07-04,no,
TXN1185,reconciled,29900,2026-07-12,no,
TXN1186,reconciled,99900,2026-08-12,no,
TXN1188,reconciled,499900,2026-07-11,no,
TXN1189,reconciled,29900,2026-07-20,no,
TXN1190,reconciled,199900,2026-07-31,yes,possible_duplicate_entry
TXN1190,reconciled,199900,2026-07-31,yes,possible_duplicate_entry
TXN1191,reconciled,99900,2026-08-02,no,
TXN1192,pending,,,no,
TXN1193,pending,499900,,no,awaiting_amount_confirmation
TXN1194,reconciled,99900,2026-08-19,no,
TXN1195,reconciled,49900,2026-08-30,no,
TXN1196,pending,499900,,no,awaiting_amount_confirmation
TXN1197,reconciled,49900,2026-07-17,yes,possible_duplicate_entry
TXN1197,reconciled,49900,2026-07-17,yes,possible_duplicate_entry
TXN1198,reconciled,999900,2026-07-04,yes,possible_duplicate_entry
TXN1198,reconciled,999900,2026-07-04,yes,possible_duplicate_entry
TXN1199,reconciled,999900,2026-07-31,yes,possible_duplicate_entry
TXN1199,reconciled,999900,2026-07-31,yes,possible_duplicate_entry
TXN1200,reconciled,29900,2026-07-23,no,
TXN1201,reconciled,499900,2026-07-31,no,
TXN1202,reconciled,49900,2026-08-17,no,
TXN1203,reconciled,49900,2026-07-23,no,
TXN1204,reconciled,199900,2026-08-20,no,
TXN1205,reconciled,199900,2026-07-05,no,
TXN1206,pending,,,no,
TXN1207,reconciled,499900,2026-07-27,no,
TXN1208,reconciled,49900,2026-08-28,no,
TXN1209,pending,,,no,
TXN1210,reconciled,499900,2026-07-20,no,
TXN1211,reconciled,49900,2026-07-17,no,
TXN1212,reconciled,999900,2026-08-23,yes,possible_duplicate_entry
TXN1212,reconciled,999900,2026-08-23,yes,possible_duplicate_entry
TXN1213,pending,,,no,
TXN1214,pending,,,no,
TXN1215,pending,49900,,no,awaiting_amount_confirmation
TXN1216,pending,,,no,
TXN1217,pending,,,no,
TXN1218,pending,,,no,
TXN1219,reconciled,499900,2026-07-28,no,
TXN1220,pending,,,no,
TXN1221,reconciled,49900,2026-08-20,yes,possible_duplicate_entry
TXN1221,reconciled,49900,2026-08-20,yes,possible_duplicate_entry
TXN1222,reconciled,999900,2026-07-20,no,
TXN1224,pending,,,no,
TXN1225,reconciled,499900,2026-08-25,no,
TXN1226,reconciled,999900,2026-08-23,no,
TXN1227,reconciled,19900,2026-07-16,no,
TXN1228,pending,,,no,
TXN1229,reconciled,499900,2026-08-31,no,
TXN1230,reconciled,29900,2026-08-21,no,
TXN1231,reconciled,499900,2026-07-27,no,
TXN1232,reconciled,999900,2026-07-25,no,
TXN1233,pending,,,no,
TXN1234,reconciled,9900,2026-07-05,no,
TXN1235,pending,,,no,
TXN1236,pending,,,no,
TXN1237,reconciled,999900,2026-08-18,yes,possible_duplicate_entry
TXN1237,reconciled,999900,2026-08-18,yes,possible_duplicate_entry
TXN1238,reconciled,99900,2026-07-19,no,
TXN1239,reconciled,19900,2026-09-01,no,
TXN1240,reconciled,999900,2026-07-29,no,
TXN1241,reconciled,199900,2026-09-01,no,
TXN1242,reconciled,99900,2026-08-02,no,
TXN1243,pending,,,no,
TXN1244,pending,9900,,no,awaiting_amount_confirmation
TXN1245,reconciled,49900,2026-08-13,no,
TXN1246,pending,,,no,
TXN1247,pending,,,no,
TXN1248,reconciled,49900,2026-07-22,no,
TXN1250,reconciled,9900,2026-07-23,no,
TXN1251,pending,,,no,
TXN1252,reconciled,29900,2026-08-31,no,
TXN1253,reconciled,199900,2026-07-13,no,
TXN1254,reconciled,99900,2026-07-12,no,
TXN1255,reconciled,999900,2026-07-13,no,
TXN1256,pending,,,no,
TXN1257,reconciled,19900,2026-08-22,no,
TXN1258,pending,999900,,no,awaiting_amount_confirmation
TXN1259,pending,,,no,
TXN1260,reconciled,29900,2026-08-23,no,
TXN1261,reconciled,999900,2026-08-21,no,
TXN1262,reconciled,999900,2026-08-24,no,
TXN1263,pending,,,no,
TXN1264,pending,,,no,
TXN1265,reconciled,49900,2026-07-10,no,
TXN1266,pending,,,no,
TXN1267,reconciled,99900,2026-07-30,no,
TXN1268,pending,,,no,
TXN1269,pending,,,no,
TXN1270,pending,,,no,
TXN1271,pending,,,no,
TXN1272,pending,,,no,
TXN1273,reconciled,999900,2026-07-07,no,
TXN1276,reconciled,19900,2026-08-20,no,
TXN1277,reconciled,19900,2026-07-20,no,
TXN1279,reconciled,9900,2026-07-23,no,
TXN1280,pending,999900,,no,awaiting_amount_confirmation
TXN1281,pending,,,no,
TXN1282,pending,49900,,no,awaiting_amount_confirmation
TXN1283,reconciled,19900,2026-07-09,yes,possible_duplicate_entry
TXN1283,reconciled,19900,2026-07-09,yes,possible_duplicate_entry
TXN1284,pending,,,no,
TXN1285,reconciled,499900,2026-08-15,no,
TXN1286,reconciled,29900,2026-08-27,no,
TXN1287,reconciled,19900,2026-07-19,yes,possible_duplicate_entry
TXN1287,reconciled,19900,2026-07-19,yes,possible_duplicate_entry
TXN1288,pending,,,no,
TXN1289,reconciled,9900,2026-08-02,no,
TXN1290,pending,99900,,no,awaiting_amount_confirmation
TXN1291,reconciled,199900,2026-08-01,no,
TXN1292,reconciled,9900,2026-07-11,no,
TXN1293,pending,,,no,
TXN1294,reconciled,199900,2026-07-12,no,
TXN1295,reconciled,499900,2026-07-08,no,
TXN1296,reconciled,199900,2026-08-15,no,
TXN1297,reconciled,49900,2026-09-01,no,
TXN1298,reconciled,499900,2026-08-27,no,
TXN1299,pending,,,no,
TXN1300,reconciled,9900,2026-07-23,no,
TXN1301,pending,99900,,no,awaiting_amount_confirmation
TXN1302,reconciled,19900,2026-08-11,no,
TXN1303,reconciled,9900,2026-07-11,no,
TXN1304,reconciled,29900,2026-07-03,no,
TXN1305,reconciled,9900,2026-07-12,no,
TXN1306,pending,,,no,
TXN1307,pending,,,no,
TXN1308,reconciled,499900,2026-08-11,no,
TXN1309,pending,,,no,
TXN1310,pending,,,no,
TXN1312,pending,,,no,
TXN1313,reconciled,199900,2026-08-19,no,
TXN1314,reconciled,499900,2026-07-06,no,
TXN1315,reconciled,29900,2026-07-04,no,
TXN1316,reconciled,49900,2026-07-30,no,
TXN1317,reconciled,29900,2026-07-20,no,
TXN1318,reconciled,499900,2026-08-28,no,
TXN1319,reconciled,29900,2026-07-20,no,
TXN1320,reconciled,9900,2026-08-07,no,
TXN1321,pending,,,no,
TXN1322,reconciled,49900,2026-07-20,no,
TXN1324,reconciled,19900,2026-08-15,no,
TXN1325,pending,,,no,
TXN1326,reconciled,499900,2026-08-31,no,
TXN1327,reconciled,9900,2026-07-28,no,
TXN1328,reconciled,999900,2026-08-27,no,
TXN1329,reconciled,999900,2026-08-28,no,
TXN1330,pending,,,no,
TXN1331,reconciled,19900,2026-07-21,no,
TXN1332,reconciled,999900,2026-07-07,no,
TXN1333,pending,999900,,no,awaiting_amount_confirmation
TXN1334,pending,99900,,no,awaiting_amount_confirmation
TXN1335,pending,,,no,
TXN1336,reconciled,19900,2026-07-29,no,
TXN1337,reconciled,999900,2026-07-25,no,
TXN1338,reconciled,49900,2026-07-16,no,
TXN1339,reconciled,999900,2026-07-09,no,
TXN1340,reconciled,49900,2026-07-16,no,
TXN1341,pending,,,no,
TXN1342,reconciled,9900,2026-08-30,no,
TXN1343,reconciled,9900,2026-08-10,no,
TXN1344,reconciled,19900,2026-08-31,no,
TXN1345,pending,99900,,no,awaiting_amount_confirmation
TXN1346,reconciled,9900,2026-08-17,yes,possible_duplicate_entry
TXN1346,reconciled,9900,2026-08-17,yes,possible_duplicate_entry
TXN1347,reconciled,99900,2026-08-04,no,
TXN1348,reconciled,199900,2026-07-23,no,
TXN1349,reconciled,199900,2026-08-16,yes,possible_duplicate_entry
TXN1349,reconciled,199900,2026-08-16,yes,possible_duplicate_entry
TXN1350,reconciled,499900,2026-07-22,no,
TXN1351,reconciled,9900,2026-07-19,no,
TXN1352,reconciled,29900,2026-08-22,no,
TXN1353,reconciled,49900,2026-08-19,no,
TXN1354,reconciled,9900,2026-07-26,no,
TXN1355,reconciled,29900,2026-08-20,no,
TXN1356,reconciled,29900,2026-07-24,no,
TXN1357,reconciled,499900,2026-08-07,no,
TXN1358,pending,,,no,
TXN1359,reconciled,499900,2026-07-27,no,
TXN1360,reconciled,199900,2026-07-08,no,
TXN1361,reconciled,499900,2026-08-19,no,
TXN1362,pending,,,no,
TXN1363,reconciled,999900,2026-08-25,no,
TXN1364,pending,,,no,
TXN1365,reconciled,19900,2026-08-27,no,
TXN1366,reconciled,499900,2026-08-23,no,
TXN1367,reconciled,19900,2026-07-10,no,
TXN1368,reconciled,999900,2026-08-28,no,
TXN1369,pending,,,no,
TXN1370,reconciled,19900,2026-07-12,no,
TXN1371,reconciled,29900,2026-08-24,no,
TXN1372,reconciled,999900,2026-07-24,no,
TXN1373,reconciled,9900,2026-08-16,no,
TXN1374,pending,,,no,
TXN1375,pending,999900,,no,awaiting_amount_confirmation
TXN1376,reconciled,499900,2026-07-12,no,
TXN1377,reconciled,19900,2026-07-16,no,
TXN1378,pending,,,no,
TXN1379,pending,,,no,
TXN1380,pending,,,no,
TXN1381,reconciled,49900,2026-07-05,no,
TXN1382,reconciled,19900,2026-08-04,yes,possible_duplicate_entry
TXN1382,reconciled,19900,2026-08-04,yes,possible_duplicate_entry
TXN1383,reconciled,499900,2026-08-02,yes,possible_duplicate_entry
TXN1383,reconciled,499900,2026-08-02,yes,possible_duplicate_entry
TXN1384,reconciled,199900,2026-07-08,no,
TXN1385,pending,,,no,
TXN1386,reconciled,99900,2026-07-06,no,
TXN1387,reconciled,499900,2026-08-14,no,
TXN1388,pending,,,no,
TXN1389,pending,,,no,
TXN1390,reconciled,99900,2026-07-04,no,
TXN1391,pending,,,no,
TXN1392,reconciled,999900,2026-07-21,no,
TXN1393,reconciled,29900,2026-07-27,no,
TXN1394,reconciled,199900,2026-07-13,no,
TXN1395,reconciled,499900,2026-08-11,no,
TXN1396,reconciled,999900,2026-07-12,no,
TXN1397,reconciled,19900,2026-08-17,no,
TXN1398,reconciled,99900,2026-08-12,yes,possible_duplicate_entry
TXN1398,reconciled,99900,2026-08-12,yes,possible_duplicate_entry
TXN1399,reconciled,49900,2026-07-11,no,
TXN1400,reconciled,199900,2026-08-28,no,
TXN1401,pending,,,no,
TXN1402,reconciled,19900,2026-08-30,no,
TXN1403,pending,,,no,
TXN1404,reconciled,499900,2026-08-14,no,
TXN1405,reconciled,9900,2026-07-26,no,
TXN1406,pending,,,no,
TXN1407,reconciled,9900,2026-08-04,no,
TXN1408,pending,,,no,
TXN1409,pending,,,no,
TXN1410,pending,,,no,
TXN1411,pending,199900,,no,awaiting_amount_confirmation
TXN1413,pending,,,no,
TXN1414,pending,29900,,no,awaiting_amount_confirmation
TXN1415,reconciled,9900,2026-07-09,no,
TXN1416,reconciled,29900,2026-07-03,no,
TXN1417,reconciled,9900,2026-07-30,no,
TXN1418,reconciled,99900,2026-07-27,no,
TXN1419,pending,,,no,
TXN1420,reconciled,29900,2026-08-22,no,
TXN1421,reconciled,19900,2026-08-07,no,
TXN1422,reconciled,9900,2026-07-27,no,
TXN1423,pending,,,no,
TXN1424,reconciled,999900,2026-08-22,no,
TXN1425,reconciled,199900,2026-07-25,no,
TXN1426,reconciled,499900,2026-07-26,no,
TXN1428,pending,19900,,no,awaiting_amount_confirmation
TXN1429,reconciled,9900,2026-07-27,no,
TXN1430,reconciled,29900,2026-07-23,no,
TXN1431,pending,,,no,
TXN1432,pending,,,no,
TXN1433,pending,29900,,no,awaiting_amount_confirmation
TXN1434,reconciled,29900,2026-07-04,no,
TXN1435,reconciled,499900,2026-07-24,no,
TXN1436,pending,49900,,no,awaiting_amount_confirmation
TXN1437,reconciled,9900,2026-08-29,no,
TXN1438,pending,,,no,
TXN1439,reconciled,49900,2026-07-05,no,
TXN1440,reconciled,99900,2026-07-05,no,
TXN1441,reconciled,999900,2026-07-15,no,
TXN1442,pending,499900,,no,awaiting_amount_confirmation
TXN1443,pending,,,no,
TXN1444,reconciled,199900,2026-07-07,no,
TXN1445,pending,,,no,
TXN1446,pending,,,no,
TXN1447,reconciled,199900,2026-07-07,no,
TXN1448,reconciled,9900,2026-07-13,yes,possible_duplicate_entry
TXN1448,reconciled,9900,2026-07-13,yes,possible_duplicate_entry
TXN1449,pending,,,no,
TXN1450,reconciled,99900,2026-07-29,no,
TXN1451,reconciled,499900,2026-08-09,no,
TXN1452,reconciled,49900,2026-08-06,no,
TXN1453,reconciled,999900,2026-07-07,no,
TXN1454,reconciled,9900,2026-08-27,no,
TXN1455,reconciled,99900,2026-08-10,yes,possible_duplicate_entry
TXN1455,reconciled,99900,2026-08-10,yes,possible_duplicate_entry
TXN1456,reconciled,49900,2026-07-28,no,
TXN1457,pending,,,no,
TXN1458,reconciled,499900,2026-08-29,no,
TXN1459,pending,,,no,
TXN1460,pending,,,no,
TXN1461,reconciled,19900,2026-07-04,no,
TXN1462,pending,,,no,
TXN1463,pending,,,no,
TXN1464,reconciled,99900,2026-08-06,no,
TXN1465,reconciled,19900,2026-08-13,no,
TXN1466,reconciled,99900,2026-07-31,yes,possible_duplicate_entry
TXN1466,reconciled,99900,2026-07-31,yes,possible_duplicate_entry
TXN1467,reconciled,499900,2026-08-06,no,
TXN1468,pending,,,no,
TXN1469,reconciled,99900,2026-08-22,no,
TXN1470,reconciled,999900,2026-08-13,no,
TXN1471,reconciled,999900,2026-08-20,no,
TXN1472,pending,999900,,no,awaiting_amount_confirmation
TXN1473,reconciled,29900,2026-07-06,no,
TXN1474,reconciled,999900,2026-07-17,no,
TXN1475,pending,,,no,
TXN1476,pending,,,no,
TXN1477,reconciled,9900,2026-07-14,no,
TXN1478,reconciled,999900,2026-08-24,no,
TXN1479,pending,,,no,
TXN1480,pending,,,no,
TXN1481,reconciled,999900,2026-08-15,no,
TXN1482,reconciled,29900,2026-08-01,no,
TXN1483,pending,,,no,
TXN1484,pending,499900,,no,awaiting_amount_confirmation
TXN1486,pending,,,no,
TXN1487,reconciled,19900,2026-07-06,no,
TXN1488,pending,,,no,
TXN1489,reconciled,99900,2026-07-05,no,
TXN1490,pending,,,no,
TXN1491,pending,999900,,no,awaiting_amount_confirmation
TXN1492,pending,,,no,
TXN1493,pending,,,no,
TXN1494,reconciled,9900,2026-07-26,no,
TXN1495,reconciled,99900,2026-07-31,yes,possible_duplicate_entry
TXN1495,reconciled,99900,2026-07-31,yes,possible_duplicate_entry
TXN1496,reconciled,29900,2026-08-09,no,
TXN1497,reconciled,19900,2026-07-14,no,
TXN1499,reconciled,9900,2026-08-29,no,
TXN1500,reconciled,499900,2026-07-16,no,
TXN1501,reconciled,19900,2026-07-27,no,
TXN1502,reconciled,49900,2026-08-07,no,
TXN1503,reconciled,499900,2026-07-21,no,
TXN1504,reconciled,199900,2026-07-24,no,
TXN1505,pending,49900,,no,awaiting_amount_confirmation
TXN1506,reconciled,19900,2026-08-04,no,
TXN1507,reconciled,9900,2026-08-23,no,
TXN1508,reconciled,99900,2026-07-09,no,
TXN1509,reconciled,19900,2026-08-02,no,
TXN1510,reconciled,99900,2026-08-02,no,
TXN1512,reconciled,99900,2026-08-23,no,
TXN1513,reconciled,49900,2026-08-18,no,
TXN1515,reconciled,19900,2026-08-14,no,
TXN1516,reconciled,99900,2026-07-16,no,
TXN1517,pending,49900,,no,awaiting_amount_confirmation
TXN1518,reconciled,999900,2026-08-23,no,
TXN1519,reconciled,49900,2026-08-30,yes,possible_duplicate_entry
TXN1519,reconciled,49900,2026-08-30,yes,possible_duplicate_entry
TXN1520,pending,,,no,
TXN1521,pending,,,no,
TXN1522,pending,499900,,no,awaiting_amount_confirmation
TXN1523,reconciled,499900,2026-07-26,no,
TXN1524,pending,,,no,
TXN1525,pending,,,no,
TXN1526,reconciled,29900,2026-08-28,no,
TXN1527,reconciled,499900,2026-07-14,no,
TXN1528,pending,9900,,no,awaiting_amount_confirmation
TXN1529,reconciled,99900,2026-08-04,no,
TXN1530,pending,,,no,
TXN1531,pending,,,no,
TXN1532,reconciled,99900,2026-07-06,no,
TXN1533,reconciled,29900,2026-07-17,yes,possible_duplicate_entry
TXN1533,reconciled,29900,2026-07-17,yes,possible_duplicate_entry
TXN1534,reconciled,19900,2026-07-10,no,
TXN1535,pending,,,no,
TXN1536,reconciled,99900,2026-07-25,no,
TXN1537,reconciled,49900,2026-08-21,no,
TXN1538,reconciled,199900,2026-07-29,no,
TXN1539,reconciled,199900,2026-08-25,no,
TXN1540,reconciled,999900,2026-07-14,no,
TXN1541,pending,,,no,
TXN1542,pending,,,no,
TXN1543,pending,,,no,
TXN1544,reconciled,499900,2026-08-01,no,
TXN1545,reconciled,199900,2026-07-15,no,
TXN1547,reconciled,29900,2026-07-17,no,
TXN1548,reconciled,19900,2026-08-04,no,
TXN1549,pending,49900,,no,awaiting_amount_confirmation
TXN1550,reconciled,19900,2026-07-30,no,
TXN1551,reconciled,99900,2026-07-06,no,
TXN1552,pending,,,no,
TXN1553,reconciled,49900,2026-08-27,no,
TXN1554,pending,,,no,
TXN1555,reconciled,199900,2026-08-04,no,
TXN1556,reconciled,199900,2026-07-29,no,
TXN1557,reconciled,49900,2026-08-17,no,
TXN1558,pending,,,no,
TXN1559,reconciled,999900,2026-07-29,no,
TXN1560,reconciled,499900,2026-08-01,no,
TXN1561,reconciled,499900,2026-07-28,no,
TXN1562,reconciled,499900,2026-07-09,no,
TXN1563,reconciled,199900,2026-07-10,no,
TXN1564,pending,,,no,
TXN1565,pending,,,no,
TXN1566,reconciled,29900,2026-07-22,no,
TXN1567,reconciled,999900,2026-08-05,no,
TXN1568,reconciled,999900,2026-07-19,no,
TXN1569,reconciled,199900,2026-07-27,no,
TXN1570,reconciled,49900,2026-07-24,no,
TXN1571,reconciled,9900,2026-08-04,no,
TXN1572,reconciled,99900,2026-08-17,no,
TXN1573,reconciled,29900,2026-08-29,no,
TXN1574,reconciled,19900,2026-08-22,no,
TXN1575,reconciled,49900,2026-08-21,no,
TXN1576,pending,,,no,
TXN1577,pending,,,no,
TXN1578,reconciled,999900,2026-08-03,yes,possible_duplicate_entry
TXN1578,reconciled,999900,2026-08-03,yes,possible_duplicate_entry
TXN1579,pending,,,no,
TXN1580,reconciled,199900,2026-07-25,no,
TXN1581,reconciled,499900,2026-07-15,no,
TXN1582,reconciled,9900,2026-07-11,no,
TXN1583,pending,,,no,
TXN1584,reconciled,19900,2026-07-09,no,
TXN1586,pending,199900,,no,awaiting_amount_confirmation
TXN1587,reconciled,999900,2026-08-01,no,
TXN1588,reconciled,19900,2026-07-19,no,
TXN1589,reconciled,29900,2026-07-06,no,
TXN1590,pending,,,no,
TXN1592,reconciled,99900,2026-08-30,no,
TXN1593,reconciled,29900,2026-08-30,no,
TXN1594,reconciled,999900,2026-08-26,no,
TXN1595,reconciled,99900,2026-07-30,no,
TXN1596,reconciled,999900,2026-08-23,no,
TXN1597,reconciled,9900,2026-07-05,no,
TXN1598,reconciled,29900,2026-08-29,no,
TXN1599,reconciled,499900,2026-08-25,no,
TXN1600,pending,199900,,no,awaiting_amount_confirmation
TXN1601,reconciled,29900,2026-07-13,no,
TXN1602,pending,,,no,
TXN1603,reconciled,29900,2026-08-23,no,
TXN1604,pending,,,no,
TXN1605,pending,,,no,
TXN1606,pending,49900,,no,awaiting_amount_confirmation
TXN1607,pending,,,no,
TXN1608,reconciled,29900,2026-07-14,no,
TXN1610,reconciled,499900,2026-08-08,no,
TXN1611,reconciled,999900,2026-08-09,no,
TXN1612,reconciled,29900,2026-07-20,no,
TXN1613,reconciled,199900,2026-07-07,no,
