transaction_id,utr,bank_status,amount_settled,fees,tax,settlement_date,remarks
TXN1331,UTR8906163641,processed,19900,0,0,2026-07-21,
TXN1332,UTR3664052763,processed,999900,0,0,2026-07-07,
TXN1333,UTR2869999754,processed,900714,99186,0,2026-07-03,fee_deduction_variance
TXN1334,UTR7666022005,processed,91584,8316,0,2026-07-06,fee_deduction_variance
TXN1335,,pending,,,,,processing_delay
TXN1336,UTR9065491438,processed,19900,0,0,2026-07-28,
TXN1337,UTR2725373847,processed,999900,0,0,2026-07-25,
TXN1338,UTR8703676933,processed,49900,0,0,2026-07-16,
TXN1339,UTR3772636814,processed,999900,0,0,2026-07-09,
TXN1340,UTR1682781467,processed,49900,0,0,2026-07-16,
TXN1341,,pending,,,,,bank_holiday
TXN1342,UTR7464468567,processed,9900,0,0,2026-08-30,
TXN1343,UTR2478538226,processed,9900,0,0,2026-08-10,
TXN1344,UTR3780475472,processed,19900,0,0,2026-08-31,
TXN1345,UTR3780439666,processed,95842,4058,0,2026-08-01,fee_deduction_variance
TXN1346,UTR9141037388,processed,9900,0,0,2026-08-17,
TXN1347,UTR9621492184,processed,99900,0,0,2026-08-03,
TXN1348,UTR5569145346,processed,199900,0,0,2026-07-23,
TXN1349,UTR4287687478,processed,199900,0,0,2026-08-16,
TXN1350,UTR7092693247,processed,499900,0,0,2026-07-21,
TXN1351,UTR8180620422,processed,9900,0,0,2026-07-19,
TXN1352,UTR9158681911,processed,29900,0,0,2026-08-21,
TXN1353,UTR6557907251,processed,49900,0,0,2026-08-19,
TXN1354,UTR6576395496,processed,9900,0,0,2026-07-26,
TXN1355,UTR4073772623,processed,17940,0,0,2026-08-20,partial_settlement_1
TXN1355,UTR4345526911,processed,11960,0,0,2026-08-20,partial_settlement_2
TXN1356,UTR5975440949,processed,29900,0,0,2026-07-23,
TXN1357,UTR8433124121,processed,499900,0,0,2026-08-07,
TXN1358,,failed,0,0,0,,invalid_account
TXN1359,UTR9368586475,processed,499900,0,0,2026-07-27,
TXN1360,UTR4221721910,processed,199900,0,0,2026-07-08,
TXN1361,UTR1725783958,processed,299940,0,0,2026-08-18,partial_settlement_1
TXN1361,UTR5455441991,processed,199960,0,0,2026-08-18,partial_settlement_2
TXN1362,,pending,,,,,high_volume_queue
TXN1363,UTR3707166618,processed,999900,0,0,2026-08-25,
TXN1364,,failed,0,0,0,,network_timeout
TXN1365,UTR5179517389,processed,19900,0,0,2026-08-26,
TXN1366,UTR2419931729,processed,499900,0,0,2026-08-23,
TXN1367,UTR6287793163,processed,19900,0,0,2026-07-10,
TXN1368,UTR6638034087,processed,999900,0,0,2026-08-27,
TXN1369,,pending,,,,,processing_delay
TXN1370,UTR8948573913,processed,19900,0,0,2026-07-12,
TXN1371,UTR7832220535,processed,29900,0,0,2026-08-24,
TXN1372,UTR3096471391,processed,999900,0,0,2026-07-24,
TXN1373,UTR5704029171,processed,9900,0,0,2026-08-16,
TXN1374,,pending,,,,,bank_holiday
TXN1375,UTR2194675791,processed,889618,110282,0,2026-07-08,fee_deduction_variance
TXN1376,UTR8973989997,processed,499900,0,0,2026-07-11,
TXN1377,UTR8178927766,processed,19900,0,0,2026-07-16,
TXN1378,,pending,,,,,high_volume_queue
TXN1380,,failed,0,0,0,,invalid_account
TXN1381,UTR2780136605,processed,49900,0,0,2026-07-05,
TXN1382,UTR9608564548,processed,19900,0,0,2026-08-04,
TXN1383,UTR1551395583,processed,499900,0,0,2026-08-02,
TXN1384,UTR6558433027,processed,119940,0,0,2026-07-08,partial_settlement_1
TXN1384,UTR4456576082,processed,79960,0,0,2026-07-08,partial_settlement_2
TXN1385,,failed,0,0,0,,declined_by_bank
TXN1386,UTR4050941750,processed,59940,0,0,2026-07-06,partial_settlement_1
TXN1386,UTR8562471167,processed,39960,0,0,2026-07-06,partial_settlement_2
TXN1387,UTR2635825546,processed,499900,0,0,2026-08-14,
TXN1388,,failed,0,0,0,,network_timeout
TXN1389,,pending,,,,,bank_holiday
TXN1390,UTR9645619869,processed,99900,0,0,2026-07-04,
TXN1391,,failed,0,0,0,,network_timeout
TXN1392,UTR2620054076,processed,599940,0,0,2026-07-20,partial_settlement_1
TXN1392,UTR7135394336,processed,399960,0,0,2026-07-20,partial_settlement_2
TXN1393,UTR8137764127,processed,29900,0,0,2026-07-26,
TXN1394,UTR5979458346,processed,199900,0,0,2026-07-13,
TXN1395,UTR6844582171,processed,499900,0,0,2026-08-11,
TXN1396,UTR9761206076,processed,999900,0,0,2026-07-12,
TXN1397,UTR7479970041,processed,19900,0,0,2026-08-17,
TXN1398,UTR3692657073,processed,99900,0,0,2026-08-12,
TXN1399,UTR1660370908,processed,49900,0,0,2026-07-10,
TXN1400,UTR6405851839,processed,199900,0,0,2026-08-27,
TXN1401,,failed,0,0,0,,network_timeout
TXN1402,UTR8240793721,processed,19900,0,0,2026-08-30,
TXN1403,,pending,,,,,high_volume_queue
TXN1404,UTR3384006407,processed,499900,0,0,2026-08-14,
TXN1405,UTR8412844457,processed,9900,0,0,2026-07-26,
TXN1407,UTR1421776124,processed,9900,0,0,2026-08-04,
TXN1408,,pending,,,,,high_volume_queue
TXN1409,,pending,,,,,processing_delay
TXN1410,,failed,0,0,0,,invalid_account
TXN1411,UTR3605446007,processed,174131,25769,0,2026-08-03,fee_deduction_variance
TXN1412,UTR4831562592,processed,29900,0,0,2026-08-20,
TXN1413,,pending,,,,,high_volume_queue
TXN1414,UTR3192202822,processed,27082,2818,0,2026-08-07,fee_deduction_variance
TXN1415,UTR2916502228,processed,9900,0,0,2026-07-09,
TXN1416,UTR5564953924,processed,29900,0,0,2026-07-03,
TXN1417,UTR8080359881,processed,9900,0,0,2026-07-30,
TXN1418,UTR9924243978,processed,99900,0,0,2026-07-27,
TXN1420,UTR1645277642,processed,29900,0,0,2026-08-22,
TXN1421,UTR8874242713,processed,19900,0,0,2026-08-07,
TXN1422,UTR1630780803,processed,9900,0,0,2026-07-27,
TXN1423,,pending,,,,,bank_holiday
TXN1424,UTR7488857684,processed,999900,0,0,2026-08-22,
TXN1425,UTR1466305100,processed,199900,0,0,2026-07-25,
TXN1426,UTR5695215151,processed,499900,0,0,2026-07-25,
TXN1427,UTR8740820392,processed,9900,0,0,2026-07-31,
TXN1428,UTR7630274264,processed,18343,1557,0,2026-08-25,fee_deduction_variance
TXN1429,UTR6651754819,processed,9900,0,0,2026-07-27,
TXN1430,UTR7720207509,processed,29900,0,0,2026-07-23,
TXN1431,,pending,,,,,high_volume_queue
TXN1432,,failed,0,0,0,,network_timeout
TXN1433,UTR3731069282,processed,26811,3089,0,2026-08-19,fee_deduction_variance
TXN1434,UTR2592724766,processed,29900,0,0,2026-07-04,
TXN1435,UTR8044997538,processed,499900,0,0,2026-07-24,
TXN1436,UTR3894912687,processed,46098,3802,0,2026-08-14,fee_deduction_variance
TXN1437,UTR3517195150,processed,9900,0,0,2026-08-28,
TXN1439,UTR3174276085,processed,49900,0,0,2026-07-05,
TXN1440,UTR8276498637,processed,99900,0,0,2026-07-04,
TXN1441,UTR3070046110,processed,999900,0,0,2026-07-15,
TXN1442,UTR9631695368,processed,455899,44001,0,2026-07-21,fee_deduction_variance
TXN1444,UTR4165873005,processed,199900,0,0,2026-07-07,
TXN1447,UTR2708879427,processed,199900,0,0,2026-07-07,
TXN1448,UTR6045729129,processed,9900,0,0,2026-07-13,
TXN1449,,failed,0,0,0,,invalid_account
TXN1450,UTR6084870519,processed,99900,0,0,2026-07-29,
TXN1451,UTR4496922300,processed,499900,0,0,2026-08-09,
TXN1452,UTR4460319291,processed,49900,0,0,2026-08-06,
TXN1453,UTR6583604299,processed,999900,0,0,2026-07-07,
TXN1454,UTR5708580756,processed,9900,0,0,2026-08-27,
TXN1455,UTR5380159400,processed,99900,0,0,2026-08-10,
TXN1456,UTR7487309853,processed,49900,0,0,2026-07-28,
TXN1457,,pending,,,,,high_volume_queue
TXN1458,UTR8346255879,processed,499900,0,0,2026-08-28,
TXN1460,,pending,,,,,bank_holiday
TXN1461,UTR5741336386,processed,19900,0,0,2026-07-04,
TXN1462,,failed,0,0,0,,declined_by_bank
TXN1464,UTR6786043791,processed,99900,0,0,2026-08-05,
TXN1465,UTR9590331226,processed,19900,0,0,2026-08-13,
